trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': -0.13}",25,0,-46.97409925803743,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': -0.13}",25,0,-171.45517426434887,"{0: 14, 1: 5, 2: 2, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': -0.13}",20,0,-69.19409744815059,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': -0.13}",25,0,-68.5349869982851,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': -0.13}",20,0,-72.92317134618796,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': -0.13}",25,0,-132.5118325498094,"{0: 11, 1: 4, 2: 9, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': -0.13}",20,0,-146.0404562802597,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': -0.13}",25,9,-69.42878592455786,"{0: 9, 1: 1, 2: 4, 3: 2, 4: 0}",1
9,False,"{'a': 0.5, 'e': -0.13}",20,0,-86.48475033112864,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': -0.13}",25,0,-177.3741677246592,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': -0.13}",30,0,-158.3110537488847,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': -0.13}",30,0,-153.59873670165192,"{0: 19, 1: 0, 2: 9, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': -0.13}",20,0,-83.84131963350532,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': -0.13}",20,7,-30.604351025479396,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': -0.13}",20,0,-169.30426320387858,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': -0.13}",20,0,-192.8970833077624,"{0: 7, 1: 6, 2: 3, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': -0.13}",20,0,-101.10747154275401,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': -0.13}",25,0,-144.39984051459768,"{0: 10, 1: 7, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': -0.13}",30,0,-248.2035357021385,"{0: 14, 1: 4, 2: 6, 3: 3, 4: 3}",0
20,False,"{'a': 0.5, 'e': -0.13}",30,0,-105.18745600991404,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': -0.13}",25,0,-167.65728452692738,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': -0.13}",20,0,-118.64420385406764,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': -0.13}",35,0,-83.3314688638171,"{0: 20, 1: 10, 2: 5, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': -0.13}",25,0,-218.66826574370353,"{0: 15, 1: 1, 2: 3, 3: 2, 4: 4}",0
5,True,"{'a': 0.5, 'e': -0.13}",20,0,-165.82128169643715,"{0: 7, 1: 3, 2: 8, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': -0.13}",35,0,-156.5807084810679,"{0: 24, 1: 2, 2: 5, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': -0.13}",30,0,-125.75052601329398,"{0: 16, 1: 7, 2: 5, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': -0.13}",20,0,-108.14841027737711,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': -0.13}",25,0,-80.7879996139169,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': -0.13}",30,0,-122.67525539529218,"{0: 17, 1: 5, 2: 5, 3: 3, 4: 0}",0
