trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.8360533208352979}",20,0,-95.33637041669486,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.8306080196122305}",20,0,-132.63444053267497,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.8251374913662409}",20,0,-100.08292015348562,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.8196440721197306}",25,0,-89.71152417830737,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.8141300253186308}",20,0,-128.57295590826553,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.8085975434452666}",25,0,-133.63410967749428,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.8030487496143995}",25,0,-66.74952109931557,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.7974856991515332}",20,0,-140.3567468808403,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.7919103811526493}",20,0,-88.5651208274119,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.7863247200246246}",30,0,-68.47553012121672,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.7807305770056567}",25,2,-150.22447779668943,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 2}",1
12,False,"{'a': 0.01, 'e': 0.7751297516650971}",20,0,-108.97121751556799,"{0: 9, 1: 6, 2: 1, 3: 4, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.7695239833821602}",20,0,-80.17909631339911,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.763914952803041}",30,0,-193.46873120215557,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.7583042832760339}",25,7,-83.01050687932714,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 1}",1
16,False,"{'a': 0.01, 'e': 0.7526935422643041}",20,4,-21.62412886918843,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.01, 'e': 0.7470842427360128}",20,0,-55.025862259451536,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.7414778445315536}",35,19,-67.62671115145072,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 1}",1
19,False,"{'a': 0.01, 'e': 0.7358757557076979}",20,0,-75.25879877442003,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.7302793338584966}",25,3,-26.82077770973759,"{0: 16, 1: 4, 2: 1, 3: 1, 4: 0}",1
21,False,"{'a': 0.01, 'e': 0.7246898874128243}",35,12,-69.49515563155262,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 1}",1
22,False,"{'a': 0.01, 'e': 0.7191086769084892}",20,0,-77.97375305230216,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
23,False,"{'a': 0.01, 'e': 0.7135369162428742}",25,10,2.9630889829646128,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
24,False,"{'a': 0.01, 'e': 0.7079757739000976}",20,0,-171.51481855195033,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
25,False,"{'a': 0.01, 'e': 0.7024263741547256}",35,0,-126.21021631076813,"{0: 20, 1: 2, 2: 12, 3: 1, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.6968897982520874}",20,10,-19.644154714021848,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
27,False,"{'a': 0.01, 'e': 0.691367085565275}",35,0,-97.72887160900056,"{0: 23, 1: 4, 2: 6, 3: 2, 4: 0}",0
28,False,"{'a': 0.01, 'e': 0.6858592347289381}",20,7,-41.40580343872512,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 0}",1
29,False,"{'a': 0.01, 'e': 0.6803672047499981}",25,0,-113.69064830917658,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.6748919160954385}",25,14,-1.0050674279457632,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.01, 'e': 0.6694342517573375}",20,0,1.6006896887008935,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
32,False,"{'a': 0.01, 'e': 0.6639950582953347}",30,0,7.504939245167796,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
33,False,"{'a': 0.01, 'e': 0.6585751468567342}",25,4,-31.308422402793283,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 0}",1
34,False,"{'a': 0.01, 'e': 0.6531752941744686}",35,0,-140.30136528369601,"{0: 22, 1: 4, 2: 6, 3: 2, 4: 1}",0
35,False,"{'a': 0.01, 'e': 0.6477962435431529}",25,0,-112.81240649986974,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
36,False,"{'a': 0.01, 'e': 0.6424387057734774}",20,9,-88.93430418585773,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 2}",1
37,False,"{'a': 0.01, 'e': 0.6371033601251982}",25,0,-46.00856149237663,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
38,False,"{'a': 0.01, 'e': 0.6317908552189894}",30,0,-260.02784574300006,"{0: 17, 1: 0, 2: 6, 3: 3, 4: 4}",0
39,False,"{'a': 0.01, 'e': 0.6265018099274374}",20,0,-103.69826601796449,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
40,False,"{'a': 0.01, 'e': 0.6212368142454596}",20,6,-75.06549998880159,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 1}",1
41,False,"{'a': 0.01, 'e': 0.6159964301404396}",20,0,-38.18729048871189,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
42,False,"{'a': 0.01, 'e': 0.6107811923823784}",20,0,-23.06313630381151,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
43,False,"{'a': 0.01, 'e': 0.6055916093543628}",25,0,-35.12529076682241,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
44,False,"{'a': 0.01, 'e': 0.6004281638436602}",20,0,-80.09258259770992,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.5952913138137504}",30,0,-140.42264246941883,"{0: 16, 1: 2, 2: 9, 3: 3, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.590181493157611}",20,0,-8.542345987886122,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.585099112432572}",20,0,-124.4800530878535,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
48,False,"{'a': 0.01, 'e': 0.5800445595770585}",30,1,-162.3544213068308,"{0: 17, 1: 4, 2: 4, 3: 2, 4: 2}",1
49,False,"{'a': 0.01, 'e': 0.5750182006095451}",20,0,-57.99435322681396,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
50,False,"{'a': 0.01, 'e': 0.5700203803100397}",20,0,-23.87502667237078,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
51,False,"{'a': 0.01, 'e': 0.5650514228844196}",20,0,-16.084909015228963,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
52,False,"{'a': 0.01, 'e': 0.5601116326119441}",20,10,5.699138272673549,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.01, 'e': 0.5552012944762595}",25,10,-2.3088289832000024,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.01, 'e': 0.5503206747802224}",20,0,-24.013708907639646,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
55,False,"{'a': 0.01, 'e': 0.5454700217448545}",20,1,-155.9952582433762,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 3}",1
56,False,"{'a': 0.01, 'e': 0.5406495660927513}",25,13,22.63125575325717,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.5358595216162559}",25,0,-82.03386328082614,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.5311000857307132}",20,11,-6.092455511958007,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.5263714400131142}",20,0,-79.81248691022917,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
60,False,"{'a': 0.01, 'e': 0.5216737507264383}",20,6,-53.414975347455496,"{0: 9, 1: 1, 2: 2, 3: 2, 4: 0}",1
61,False,"{'a': 0.01, 'e': 0.5170071693299993}",25,8,7.773990569117059,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.01, 'e': 0.5123718329760958}",20,0,-193.44179937437457,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
63,False,"{'a': 0.01, 'e': 0.5077678649932645}",20,1,-33.802603874929424,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
64,False,"{'a': 0.01, 'e': 0.5031953753564328}",25,0,-131.07790159512905,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
65,False,"{'a': 0.01, 'e': 0.49865446114426015}",20,0,-41.32361199541179,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
66,False,"{'a': 0.01, 'e': 0.4941452069839579}",20,13,-3.37876923231679,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.01, 'e': 0.4896676854838691}",20,12,9.894058616026019,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.01, 'e': 0.4852219576540898}",20,0,-52.86477948064509,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
69,False,"{'a': 0.01, 'e': 0.48080807331540776}",20,10,19.13012656424821,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.01, 'e': 0.4764260714968281}",25,0,-35.77913742205111,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
71,False,"{'a': 0.01, 'e': 0.4720759808219558}",25,0,-84.48179711162999,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
72,False,"{'a': 0.01, 'e': 0.4677578198844969}",25,0,-44.76971865748342,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
73,False,"{'a': 0.01, 'e': 0.46347159761313755}",25,0,-45.71529178959076,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
74,False,"{'a': 0.01, 'e': 0.45921731362605533}",20,0,-55.642408053296485,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
75,False,"{'a': 0.01, 'e': 0.45499495857531314}",20,0,-7.8801797519250085,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
76,False,"{'a': 0.01, 'e': 0.4508045144813814}",35,9,-18.8027333364864,"{0: 20, 1: 1, 2: 5, 3: 0, 4: 0}",1
77,False,"{'a': 0.01, 'e': 0.4466459550580302}",30,16,0.579090321210507,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.01, 'e': 0.44251924602782755}",35,13,-39.58583083604994,"{0: 18, 1: 2, 2: 0, 3: 1, 4: 1}",1
79,False,"{'a': 0.01, 'e': 0.43842434542847786}",25,0,-24.707507360961223,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
80,False,"{'a': 0.01, 'e': 0.4343612039102263}",20,0,-37.71212733402852,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
