trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-99.13811326826601,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-93.41984896069538,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-87.75921933395396,"{0: 27, 1: 3, 2: 2, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.01563300026763,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.8291269379944,"{0: 11, 1: 3, 2: 9, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-20.201396639285576,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.13190270136917,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.14217031073645,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.07501477795697,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.89409476459036,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.72099345179431,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-69.29750702975724,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.13557482909444,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-171.50019118721775,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-18.526232578255705,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,10,-42.29636258732402,"{0: 4, 1: 2, 2: 4, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-184.2211250733531,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-194.3619606318328,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,3,-228.44738571156392,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 4}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.24480511476133,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-91.60394377251365,"{0: 9, 1: 6, 2: 3, 3: 2, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-242.5530620882455,"{0: 16, 1: 1, 2: 7, 3: 3, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-101.71293251399746,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-210.11039515944424,"{0: 15, 1: 2, 2: 8, 3: 3, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-165.90876953514018,"{0: 7, 1: 5, 2: 5, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-152.33670796799152,"{0: 12, 1: 7, 2: 1, 3: 4, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-196.46432899986914,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-146.68205956394698,"{0: 16, 1: 5, 2: 6, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-136.98834401970814,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-176.47695547653998,"{0: 12, 1: 6, 2: 4, 3: 0, 4: 3}",0
